Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
169;Davion;Mitchell;SAC;23;29;12;17;25.7;9.7;3.9;9.8;39.6;1.2;3.9;30.7;0.7;1.0;66.7;0.6;2.0;2.6;3.6;1.1;0.7;0.2;2.2;19.9;0;0
170;Jae;Crowder;PHX;31;29;24;5;27.9;9.6;3.3;8.0;41.2;1.9;5.3;35.5;1.1;1.4;80.0;0.4;4.4;4.8;1.3;0.9;1.1;0.5;2.3;21.4;0;0
171;Danilo;Gallinari;ATL;33;26;12;14;21.8;9.6;3.1;7.4;41.5;1.6;3.8;41.8;1.8;2.0;92.3;0.5;3.4;4.0;1.3;0.5;0.5;0.2;1.4;18.1;0;0
172;Ivica;Zubac;LAC;24;30;16;14;24.7;9.6;3.5;5.3;66.7;0.0;0.0;0.0;2.5;3.3;75.0;2.5;5.4;7.9;1.1;1.3;0.6;1.1;2.4;24.4;8;0
173;Eric;Bledsoe;LAC;32;30;16;14;26.2;9.5;3.5;8.4;41.5;0.9;3.0;30.8;1.6;2.0;77.0;0.6;3.1;3.7;3.7;2.0;1.3;0.4;1.6;22.5;1;0
174;Cody;Martin;CHA;26;29;16;13;27.5;9.4;3.5;6.8;51.3;1.2;2.3;50.7;1.3;1.7;74.0;1.4;3.0;4.4;2.7;0.8;1.4;0.6;1.7;23.8;0;0
175;Isaac;Okoro;CLE;20;23;13;10;28.8;9.3;3.4;7.7;44.4;1.0;3.2;30.1;1.5;2.0;76.1;1.3;2.7;4.0;1.7;1.1;0.9;0.3;2.3;19.1;0;0
176;Nicolas;Batum;LAC;33;16;10;6;26.6;9.3;3.4;6.4;52.4;2.3;5.0;45.0;0.3;0.6;50.0;0.4;4.5;4.9;1.5;0.9;1.2;0.8;1.1;22.4;0;0
177;Robert III;Williams;BOS;24;23;12;11;27.7;9.3;4.1;5.6;73.4;0.0;0.0;0.0;1.1;1.8;61.9;3.5;4.7;8.2;1.2;1.2;0.7;1.7;1.8;26.8;6;0
178;Alperen;Sengun;HOU;19;29;10;19;18.5;9.2;3.1;6.4;48.6;0.3;1.2;27.8;2.6;3.6;72.4;1.6;3.1;4.7;2.7;1.8;1.0;0.8;3.1;22.7;2;0
