Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
361;Nick;Richards;CHA;24;25;12;13;9.0;3.6;1.5;2.1;69.8;0.0;0.0;0.0;0.6;0.7;83.3;0.8;1.1;2.0;0.3;0.5;0.2;0.6;1.4;8.5;0;0
362;Isaiah;Joe;PHI;22;18;8;10;10.8;3.6;1.2;3.5;33.3;0.8;2.5;33.3;0.4;0.4;100;0.1;1.1;1.2;0.8;0.4;0.2;0.1;0.7;6.5;0;0
363;Killian;Tillie;MEM;23;17;10;7;10.5;3.5;1.3;3.3;39.3;0.8;2.2;36.8;0.1;0.2;50.0;0.5;0.7;1.2;0.4;0.3;0.5;0.5;1.5;8.3;0;0
364;Admiral;Schofield;ORL;24;2;1;1;11.0;3.5;1.5;2.5;60.0;0.5;0.5;100;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;5.0;0;0
364;Langston;Galloway;BKN;30;2;1;1;15.8;3.5;1.5;3.5;42.9;0.5;2.0;25.0;0.0;0.0;0.0;0.5;2.0;2.5;1.5;1.0;0.0;0.0;0.0;7.8;0;0
364;Tony;Bradley;CHI;23;22;13;9;12.5;3.5;1.6;3.0;55.4;0.0;0.0;0.0;0.2;0.3;71.4;1.5;2.9;4.4;0.5;0.7;0.2;0.5;1.3;11.0;0;0
364;Vernon Jr.;Carey;CHA;20;2;2;0;5.9;3.5;1.5;3.0;50.0;0.0;0.0;0.0;0.5;0.5;100;1.0;0.5;1.5;0.0;0.5;0.5;0.0;0.5;6.3;0;0
368;Naji;Marshall;NOP;23;19;5;14;11.0;3.5;1.0;3.2;31.1;0.2;1.3;12.5;1.3;1.5;86.2;0.7;2.1;2.8;1.1;1.0;0.4;0.2;1.1;9.2;0;0
369;Moses;Brown;DAL;22;15;7;8;6.5;3.5;1.0;1.7;57.7;0.0;0.0;0.0;1.5;2.1;71.0;0.7;1.3;2.1;0.0;0.4;0.2;0.4;1.0;7.3;0;0
370;Javonte;Smart;MIL;22;9;5;4;15.6;3.4;1.2;4.2;28.9;0.4;1.9;23.5;0.6;0.7;83.3;0.4;1.6;2.0;1.1;0.8;0.3;0.2;1.0;8.4;0;0
371;Rajon;Rondo;LAL;35;16;5;11;15.9;3.4;1.4;4.3;33.8;0.5;1.8;28.6;0.1;0.1;50.0;0.6;2.1;2.6;3.9;1.9;0.8;0.3;1.5;13.5;0;0
372;Paul;Millsap;BKN;36;21;14;7;11.2;3.4;1.3;3.6;35.5;0.3;1.2;24.0;0.6;0.8;70.6;1.2;2.5;3.7;1.0;0.5;0.2;0.3;2.1;10.6;0;0
373;Jay;Scrubb;LAC;21;8;3;5;6.6;3.4;1.4;3.5;39.3;0.5;1.8;28.6;0.1;0.3;50.0;0.0;0.5;0.5;0.5;0.4;0.3;0.3;0.4;5.9;0;0
374;Eric;Paschall;UTA;25;23;18;5;10.6;3.3;1.1;2.7;41.9;0.5;1.7;30.0;0.6;0.8;68.4;0.6;1.2;1.8;0.6;0.5;0.1;0.1;0.7;6.7;0;0
375;Omer;Yurtseven;MIA;23;22;13;9;8.3;3.3;1.3;2.8;47.5;0.0;0.2;0.0;0.7;1.1;62.5;0.8;2.1;3.0;0.5;0.5;0.1;0.5;0.9;8.8;0;0
376;Malachi;Flynn;TOR;23;21;11;10;8.6;3.2;1.3;3.3;39.1;0.5;1.6;30.3;0.2;0.3;57.1;0.2;0.9;1.1;0.9;0.3;0.5;0.1;1.0;7.3;0;0
377;Devon;Dotson;CHI;22;5;2;3;9.6;3.2;1.0;2.4;41.7;0.2;1.0;20.0;1.0;1.6;62.5;0.2;1.0;1.2;0.8;0.2;0.0;0.0;1.0;5.6;0;0
378;Aaron;Wiggins;OKC;22;11;2;9;15.5;3.2;1.1;2.3;48.0;0.6;1.8;35.0;0.4;0.6;57.1;0.3;1.5;1.7;1.0;0.7;0.4;0.2;1.7;7.7;0;0
379;Davon;Reed;DEN;26;6;4;2;16.5;3.2;1.2;3.2;36.8;0.5;1.3;37.5;0.3;0.3;100;0.3;3.5;3.8;1.3;0.3;1.5;0.2;1.2;14.4;0;0
379;Semi;Ojeleye;MIL;27;12;5;7;19.7;3.2;1.1;4.5;24.1;0.6;2.7;21.9;0.4;0.6;71.4;1.8;2.1;3.9;0.3;0.4;0.3;0.4;1.5;10.2;0;0
381;JT;Thor;CHA;19;7;4;3;13.6;3.1;1.1;3.1;36.4;0.4;2.0;21.4;0.4;0.9;50.0;0.6;1.1;1.7;0.9;0.3;0.6;0.4;1.7;9.2;0;0
381;Taj;Gibson;NYK;36;14;6;8;18.6;3.1;1.2;3.0;40.5;0.1;0.6;12.5;0.6;0.8;81.8;1.6;2.6;4.2;0.6;0.9;0.4;1.1;3.0;12.7;0;0
383;Amir;Coffey;LAC;24;18;7;11;12.1;3.1;0.8;2.3;33.3;0.6;1.7;32.3;1.0;1.2;85.7;0.2;1.4;1.6;0.6;0.3;0.1;0.1;0.7;6.1;0;0
384;Day'Ron;Sharpe;BKN;20;10;6;4;6.2;3.1;1.3;2.2;59.1;0.1;0.3;33.3;0.4;1.1;36.4;1.4;1.5;2.9;0.0;0.8;0.2;0.3;0.7;7.3;0;0
384;Lamar;Stevens;CLE;24;20;14;6;10.7;3.1;1.2;3.0;40.7;0.5;1.1;40.9;0.3;0.4;62.5;0.6;1.3;1.9;0.4;0.4;0.2;0.2;1.2;6.8;0;0
386;Payton;Pritchard;BOS;23;24;13;11;10.1;3.1;1.0;3.4;30.5;0.8;2.3;33.9;0.2;0.2;100;0.3;0.9;1.2;1.5;0.6;0.0;0.1;0.7;6.7;0;0
387;Aaron;Nesmith;BOS;22;25;12;13;10.8;3.1;1.1;3.4;32.9;0.6;2.4;23.3;0.3;0.4;77.8;0.3;1.4;1.7;0.4;0.5;0.3;0.0;1.4;6.3;0;0
388;James III;Ennis;BKN;31;1;0;1;12.4;3.0;1.0;6.0;16.7;1.0;2.0;50.0;0.0;0.0;0.0;2.0;2.0;4.0;0.0;0.0;1.0;1.0;0.0;13.8;0;0
388;McKinley IV;Wright;MIN;23;1;1;0;4.1;3.0;1.0;1.0;100;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0;0
388;Trevor;Ariza;LAL;36;1;0;1;15.2;3.0;1.0;1.0;100;1.0;1.0;100;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;7.2;0;0
388;Vlatko;Cancar;DEN;24;9;5;4;8.4;3.0;1.0;2.1;47.4;0.4;0.6;80.0;0.6;0.7;83.3;0.1;0.9;1.0;0.9;0.4;0.2;0.1;0.9;6.1;0;0
392;Sterling;Brown;DAL;26;21;10;11;13.1;3.0;1.1;3.3;33.3;0.6;2.2;26.1;0.2;0.2;100;0.7;2.6;3.2;0.7;0.8;0.5;0.1;1.2;9.0;0;0
393;Miles;McBride;NYK;21;10;4;6;6.9;2.9;1.1;3.0;36.7;0.4;1.5;26.7;0.3;0.3;100;0.2;0.6;0.8;1.2;0.0;0.6;0.1;0.7;7.8;0;0
394;Delon;Wright;ATL;29;27;14;13;14.4;2.9;1.0;2.6;38.6;0.3;0.9;37.5;0.6;0.7;78.9;0.7;2.0;2.6;2.1;0.6;0.6;0.2;0.6;11.1;0;0
394;Jahmi'us;Ramsey;SAC;20;9;2;7;7.7;2.9;1.1;2.9;38.5;0.2;1.2;18.2;0.4;0.9;50.0;0.1;0.3;0.4;0.3;0.2;0.1;0.1;0.6;4.4;0;0
394;KZ;Okpala;MIA;22;18;11;7;10.8;2.9;1.1;2.9;35.8;0.3;1.2;27.3;0.4;0.6;80.0;0.6;1.4;2.0;0.6;0.2;0.2;0.3;1.2;7.6;0;0
397;Jock;Landale;SAS;26;12;6;6;4.1;2.8;1.0;1.6;63.2;0.3;0.6;42.9;0.5;0.6;85.7;0.4;0.3;0.7;0.3;0.3;0.1;0.2;0.4;4.4;0;0
398;Justise;Winslow;LAC;25;21;13;8;9.6;2.7;1.2;2.8;42.4;0.2;0.7;28.6;0.1;0.4;37.5;0.6;1.9;2.4;1.0;0.9;0.5;0.3;0.8;8.7;0;0
399;Chris;Chiozza;GSW;26;13;10;3;12.5;2.7;0.9;2.9;31.6;0.8;2.2;35.7;0.1;0.1;100;0.5;1.2;1.7;2.1;1.0;0.5;0.0;1.4;8.5;0;0
400;Gorgui;Dieng;ATL;31;24;12;12;8.2;2.7;0.9;2.0;44.9;0.4;1.0;37.5;0.5;0.7;68.8;0.9;2.2;3.1;0.6;0.5;0.3;0.3;1.4;8.6;0;0
400;Tyler;Cook;CHI;24;3;1;2;6.4;2.7;0.7;1.3;50.0;0.0;0.0;0.0;1.3;1.3;100;0.0;0.7;0.7;1.0;0.3;0.0;0.0;0.7;4.6;0;0
402;Tomas;Satoransky;NOP;30;26;9;17;14.9;2.7;1.0;3.2;31.7;0.1;0.8;13.6;0.5;0.7;77.8;0.6;1.4;2.0;2.0;0.7;0.3;0.0;1.1;8.3;0;0
403;Dylan;Windler;CLE;25;20;13;7;10.1;2.6;1.0;2.3;42.2;0.6;1.5;36.7;0.2;0.2;75.0;0.4;1.4;1.8;0.9;0.5;0.3;0.1;1.2;6.8;0;0
403;Isaiah;Todd;WAS;20;5;0;5;2.8;2.6;0.8;2.0;40.0;0.8;1.4;57.1;0.2;0.4;50.0;0.2;0.2;0.4;0.0;0.2;0.4;0.2;0.2;4.7;0;0
403;Josh;Okogie;MIN;23;20;6;14;13.9;2.6;0.8;2.5;32.7;0.3;1.1;23.8;0.8;1.3;57.7;1.0;1.3;2.2;0.9;0.5;0.7;0.3;1.4;8.7;0;0
406;Justin;Robinson;SAC;24;19;11;8;10.9;2.5;0.9;3.2;29.5;0.5;2.0;26.3;0.1;0.1;100;0.1;0.6;0.7;1.2;0.6;0.4;0.0;0.9;5.8;0;0
407;Anthony;Gill;WAS;29;12;3;9;5.3;2.5;0.8;1.1;76.9;0.3;0.3;100;0.6;0.7;87.5;0.5;0.9;1.4;0.2;0.2;0.0;0.2;0.6;4.8;0;0
407;Goga;Bitadze;IND;22;18;8;10;8.2;2.5;0.8;2.8;29.4;0.2;1.4;15.4;0.6;0.9;64.7;1.0;1.3;2.3;0.2;0.3;0.6;0.6;1.6;8.6;0;0
407;Wesley;Matthews;MIL;35;4;3;1;14.0;2.5;1.0;2.8;36.4;0.5;2.0;25.0;0.0;0.5;0.0;0.3;1.0;1.3;0.3;0.5;0.5;0.3;1.5;6.1;0;0
410;Abdel;Nader;PHX;28;14;11;3;10.4;2.4;0.9;2.5;34.3;0.3;1.0;28.6;0.4;0.7;60.0;0.3;1.6;1.9;0.5;0.8;0.6;0.3;1.4;7.3;0;0
411;Paul;Reed;PHI;22;15;7;8;9.4;2.4;1.2;2.5;48.6;0.0;0.3;0.0;0.0;0.0;0.0;1.1;1.5;2.5;0.5;0.4;0.6;0.6;1.4;9.4;0;0
411;Theo;Maledon;OKC;20;15;3;12;11.5;2.4;0.7;2.9;22.7;0.2;1.8;11.1;0.9;1.0;86.7;0.4;1.2;1.6;1.0;1.0;0.3;0.1;0.8;6.2;0;0
413;Josh;Green;DAL;21;17;7;10;7.4;2.4;1.1;1.8;60.0;0.2;0.4;50.0;0.1;0.2;25.0;0.5;1.1;1.5;0.5;0.2;0.4;0.1;0.9;6.1;0;0
414;Jevon;Carter;BKN;26;27;19;8;11.7;2.3;0.8;2.8;27.6;0.7;2.2;30.5;0.1;0.1;75.0;0.1;1.3;1.5;1.1;0.4;0.3;0.3;1.1;7.1;0;0
415;Justin;Champagnie;TOR;20;15;9;6;7.3;2.2;0.8;2.0;40.0;0.0;0.5;0.0;0.6;0.6;100;0.9;0.5;1.4;0.1;0.1;0.1;0.1;0.9;4.8;0;0
416;Gabriel;Deck;OKC;26;6;2;4;7.5;2.2;1.0;2.0;50.0;0.2;0.5;33.3;0.0;0.0;0.0;0.2;0.7;0.8;0.5;0.3;0.2;0.0;0.3;4.1;0;0
416;Nathan;Knight;MIN;24;12;6;6;3.9;2.2;0.5;0.8;60.0;0.0;0.1;0.0;1.2;1.5;77.8;0.3;0.9;1.3;0.3;0.3;0.1;0.2;0.5;4.5;0;0
418;Jordan;McLaughlin;MIN;25;19;10;9;10.6;2.1;0.7;2.4;28.9;0.2;1.1;20.0;0.5;0.6;81.8;0.2;0.7;0.9;2.0;0.6;0.6;0.0;0.4;7.2;0;0
419;Devontae;Cacok;SAS;25;1;1;0;1.8;2.0;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;5.9;0;0
419;Jalen;Johnson;ATL;20;7;5;2;2.7;2.0;0.7;1.4;50.0;0.3;0.6;50.0;0.3;0.3;100;0.0;0.7;0.7;0.0;0.0;0.0;0.0;0.0;2.9;0;0
419;Joshua;Primo;SAS;18;8;5;3;7.4;2.0;0.8;1.4;54.5;0.5;1.0;50.0;0.0;0.0;0.0;0.1;0.6;0.8;0.5;0.0;0.4;0.5;0.5;6.3;0;0
419;Keljin;Blevins;POR;26;3;1;2;4.7;2.0;0.7;1.3;50.0;0.7;1.0;66.7;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.7;0.0;0.0;0.0;2.2;0;0
419;Skylar;Mays;ATL;24;7;5;2;2.7;2.0;0.6;0.7;80.0;0.1;0.3;50.0;0.7;0.7;100;0.0;0.3;0.3;0.1;0.3;0.0;0.0;0.3;2.3;0;0
419;Tony;Snell;POR;30;22;8;14;12.0;2.0;0.7;2.1;32.6;0.5;1.6;30.6;0.1;0.1;100;0.1;1.2;1.4;0.7;0.2;0.2;0.1;1.0;5.4;0;0
419;Trendon;Watford;POR;21;8;2;6;5.0;2.0;0.9;1.6;53.8;0.0;0.0;0.0;0.3;0.4;66.7;0.4;0.8;1.1;0.5;0.4;0.3;0.4;0.3;5.6;0;0
426;Moses;Moody;GSW;19;20;18;2;6.5;1.9;0.8;2.3;33.3;0.2;1.3;16.0;0.2;0.4;57.1;0.2;0.8;1.0;0.3;0.2;0.1;0.2;0.5;4.2;0;0
427;Willie;Cauley-Stein;DAL;28;18;10;8;9.8;1.9;0.9;1.9;45.7;0.1;0.1;50.0;0.1;0.1;50.0;0.7;1.4;2.1;0.5;0.4;0.3;0.2;0.9;6.3;0;0
428;Jared;Butler;UTA;21;17;15;2;4.3;1.9;0.6;1.9;34.4;0.4;1.1;31.6;0.2;0.4;57.1;0.0;0.7;0.7;0.6;0.5;0.1;0.4;0.9;4.6;0;0
429;Ignas;Brazdeikis;ORL;22;13;1;12;8.5;1.8;0.6;2.4;25.8;0.2;1.4;16.7;0.4;0.5;83.3;0.4;1.0;1.4;0.5;0.2;0.2;0.0;1.0;4.7;0;0
429;Rodney;McGruder;DET;30;13;1;12;7.3;1.8;0.8;1.9;40.0;0.2;0.8;18.2;0.2;0.2;100;0.5;1.0;1.5;0.5;0.5;0.0;0.2;0.5;4.4;0;0
431;Keon;Johnson;LAC;19;5;2;3;4.6;1.8;0.4;1.4;28.6;0.0;0.2;0.0;1.0;1.2;83.3;0.2;0.4;0.6;0.4;0.2;0.2;0.0;0.8;3.5;0;0
432;Georgios;Kalaitzakis;MIL;22;9;7;2;5.3;1.8;0.6;1.2;45.5;0.2;0.4;50.0;0.4;1.0;44.4;0.4;0.4;0.9;0.0;0.4;0.1;0.1;0.9;3.1;0;0
433;Alize;Johnson;CHI;25;16;10;6;7.5;1.8;0.8;1.4;52.2;0.0;0.1;0.0;0.3;0.4;57.1;1.0;1.3;2.3;0.5;0.5;0.2;0.0;0.9;5.3;0;0
433;Eugene;Omoruyi;DAL;24;4;1;3;4.5;1.8;0.5;1.3;40.0;0.3;0.5;50.0;0.5;1.0;50.0;0.5;1.3;1.8;0.5;0.0;0.0;0.0;0.5;4.6;0;0
433;Jose;Alvarado;NOP;23;8;2;6;5.1;1.8;0.6;1.6;38.5;0.3;0.6;40.0;0.3;0.4;66.7;0.3;0.4;0.6;1.1;0.1;0.5;0.0;0.4;5.6;0;0
436;Denzel;Valentine;CLE;28;19;12;7;6.7;1.7;0.6;2.2;29.3;0.5;1.4;33.3;0.0;0.0;0.0;0.3;0.7;1.1;0.3;0.4;0.3;0.0;0.6;3.8;0;0
437;Ed;Davis;CLE;32;11;7;4;9.7;1.7;0.8;1.1;75.0;0.0;0.0;0.0;0.1;0.4;25.0;0.5;2.9;3.4;0.1;0.3;0.3;0.6;1.4;8.4;0;0
438;CJ;Elleby;POR;21;14;6;8;5.4;1.7;0.7;1.6;45.5;0.3;0.9;33.3;0.0;0.0;0.0;0.1;1.1;1.3;0.3;0.5;0.0;0.0;0.8;3.2;0;0
439;Duane Jr.;Washington;IND;21;3;2;1;2.3;1.7;0.7;1.3;50.0;0.3;1.0;33.3;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.0;2.1;0;0
440;Isaiah;Jackson;IND;19;7;3;4;5.1;1.6;0.7;2.0;35.7;0.0;0.0;0.0;0.1;0.3;50.0;0.6;1.0;1.6;0.0;0.1;0.1;0.1;1.3;4.2;0;0
441;Jeff;Dowtin;GSW;24;4;3;1;6.9;1.5;0.8;1.5;50.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3;1.5;1.8;0.8;0.3;0.0;0.3;0.5;5.2;0;0
441;Matt;Thomas;CHI;27;8;6;2;6.1;1.5;0.6;2.4;26.3;0.3;1.1;22.2;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0;0.3;0.1;0.4;3.4;0;0
441;Usman;Garuba;HOU;19;10;2;8;6.7;1.5;0.6;1.6;37.5;0.2;0.9;22.2;0.1;0.2;50.0;0.6;1.7;2.3;0.7;0.3;0.4;0.4;0.7;7.4;0;0
444;Greg III;Brown;POR;20;11;6;5;4.7;1.5;0.6;1.8;35.0;0.0;0.4;0.0;0.2;0.6;28.6;0.5;0.8;1.3;0.5;0.2;0.2;0.4;0.6;5.1;0;0
445;Trent;Forrest;UTA;23;22;15;7;7.4;1.4;0.5;1.0;52.4;0.0;0.1;33.3;0.4;0.5;80.0;0.3;0.8;1.1;0.7;0.5;0.2;0.0;0.5;4.0;0;0
446;Paul;Watson;OKC;26;5;1;4;15.7;1.4;0.4;3.0;13.3;0.4;2.6;15.4;0.2;0.4;50.0;0.4;2.0;2.4;0.6;0.6;0.2;0.6;1.0;7.0;0;0
447;Bol;Bol;DEN;22;11;4;7;4.6;1.4;0.6;1.5;43.8;0.0;0.3;0.0;0.1;0.3;33.3;0.2;1.1;1.3;0.4;0.0;0.1;0.2;0.3;4.3;0;0
448;RJ Jr.;Nembhard;CLE;22;3;1;2;2.2;1.3;0.7;0.7;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.7;0.3;0.0;0.0;0.0;2.4;0;0
449;Leandro;Bolmaro;MIN;21;19;10;9;8.5;1.3;0.4;1.6;26.7;0.1;0.5;10.0;0.4;0.5;88.9;0.7;1.0;1.7;0.5;0.6;0.3;0.0;1.0;4.3;0;0
450;Ish;Wainright;PHX;27;10;8;2;5.6;1.2;0.5;2.1;23.8;0.2;1.2;16.7;0.0;0.2;0.0;0.6;0.6;1.2;0.4;0.3;0.3;0.1;1.3;4.1;0;0
450;Udonis;Haslem;MIA;41;5;4;1;4.6;1.2;0.6;1.2;50.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;1.0;1.2;0.2;0.0;0.0;0.2;1.0;3.5;0;0
452;Cassius;Winston;WAS;23;2;0;2;3.4;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;100;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;2.0;0;0
452;Chaundee Jr.;Brown;LAL;23;2;0;2;10.3;1.0;0.5;3.5;14.3;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;1.7;0;0
452;Isaac;Bonga;TOR;22;11;6;5;5.4;1.0;0.3;1.1;25.0;0.1;0.3;33.3;0.4;0.5;66.7;0.4;0.2;0.5;0.3;0.2;0.5;0.2;0.9;4.1;0;0
452;Jamorko;Pickett;DET;23;3;0;3;2.9;1.0;0.3;0.3;100;0.3;0.3;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.7;0;0
452;Jericho;Sims;NYK;23;9;4;5;6.4;1.0;0.3;0.3;100;0.0;0.0;0.0;0.3;0.4;75.0;0.3;1.3;1.7;0.1;0.2;0.2;0.4;0.4;4.9;0;0
452;Joe;Wieskamp;SAS;22;3;2;1;2.6;1.0;0.3;0.3;100;0.3;0.3;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;1.0;0;0
452;Marko;Simonovic;CHI;22;3;1;2;4.1;1.0;0.0;1.7;0.0;0.0;1.0;0.0;1.0;1.3;75.0;0.3;0.3;0.7;0.0;0.3;0.0;0.0;0.0;1.5;0;0
452;Robert II;Woodard;SAC;22;2;0;2;2.7;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;100;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0;0
452;Sam;Hauser;BOS;24;3;3;0;2.3;1.0;0.3;1.0;33.3;0.3;1.0;33.3;0.0;0.0;0.0;0.0;0.7;0.7;0.0;0.0;0.3;0.0;0.3;2.8;0;0
461;Juancho;Hernangomez;BOS;26;15;8;7;4.2;0.9;0.3;1.2;22.2;0.1;0.8;16.7;0.3;0.3;80.0;0.4;0.7;1.1;0.1;0.4;0.3;0.0;0.3;2.8;0;0
462;Kevin;Pangos;CLE;28;12;10;2;4.1;0.9;0.3;0.9;36.4;0.2;0.5;33.3;0.1;0.2;50.0;0.1;0.2;0.3;0.7;0.3;0.1;0.0;0.4;2.1;0;0
463;Jake;Layman;MIN;27;11;6;5;4.8;0.9;0.4;1.4;26.7;0.2;0.6;28.6;0.0;0.2;0.0;0.1;0.8;0.9;0.1;0.2;0.1;0.1;0.2;2.5;0;0
464;Petr;Cornelie;DEN;26;10;2;8;3.1;0.9;0.4;1.3;30.8;0.0;0.7;0.0;0.1;0.2;50.0;0.6;0.6;1.2;0.3;0.2;0.0;0.1;0.5;2.9;0;0
465;Chandler;Hutchison;PHX;25;5;3;2;2.9;0.8;0.2;0.4;50.0;0.0;0.0;0.0;0.4;0.4;100;0.0;1.0;1.0;0.2;0.6;0.0;0.0;0.2;1.7;0;0
466;Yves;Pons;MEM;22;4;3;1;3.4;0.8;0.3;0.8;33.3;0.3;0.3;100;0.0;0.0;0.0;0.3;0.5;0.8;0.0;0.0;0.0;0.0;0.3;1.7;0;0
467;Vit;Krejci;OKC;21;3;1;2;3.0;0.7;0.0;0.7;0.0;0.0;0.7;0.0;0.7;0.7;100;0.0;1.0;1.0;0.0;0.3;0.0;0.0;0.0;1.5;0;0
468;Marcus;Garrett;MIA;23;8;7;1;6.6;0.6;0.3;0.8;33.3;0.1;0.1;100;0.0;0.3;0.0;0.4;0.8;1.1;0.5;0.1;0.1;0.3;0.9;3.7;0;0
468;Tacko;Fall;CLE;26;8;3;5;3.1;0.6;0.3;0.6;40.0;0.0;0.0;0.0;0.1;0.6;20.0;0.1;0.5;0.6;0.0;0.1;0.0;0.3;0.1;2.0;0;0
470;Solomon;Hill;ATL;30;13;7;6;10.7;0.6;0.2;1.5;15.0;0.2;1.0;15.4;0.0;0.0;0.0;0.5;1.3;1.8;0.9;0.1;0.3;0.2;1.2;5.4;0;0
471;Sharife;Cooper;ATL;20;7;6;1;2.5;0.6;0.3;1.1;25.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.6;0.4;0.0;0.0;0.1;1.2;0;0
472;Kai;Jones;CHA;20;9;6;3;2.5;0.6;0.2;0.4;50.0;0.0;0.1;0.0;0.1;0.2;50.0;0.1;0.3;0.4;0.1;0.3;0.0;0.0;0.1;0.9;0;0
473;Bruno;Fernando;BOS;23;8;5;3;2.2;0.5;0.3;0.4;66.7;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.3;0.1;0.4;0.0;0.1;0.4;1.0;0;0
473;Scottie;Lewis;CHA;21;2;1;1;3.3;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;2.8;0;0
473;Udoka;Azubuike;UTA;22;4;3;1;2.0;0.5;0.3;0.3;100;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.8;1.0;0.0;0.3;0.0;0.0;0.0;1.5;0;0
476;Miye;Oni;UTA;24;14;13;1;2.9;0.4;0.1;0.5;28.6;0.1;0.4;16.7;0.0;0.1;0.0;0.0;0.4;0.4;0.4;0.1;0.0;0.0;0.4;1.3;0;0
477;Elijah;Hughes;UTA;23;6;5;1;2.8;0.3;0.0;0.3;0.0;0.0;0.2;0.0;0.3;0.3;100;0.0;0.2;0.2;0.0;0.2;0.0;0.0;0.3;0.4;0;0
478;Aaron;Henry;PHI;22;1;1;0;2.1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;Arnoldas;Kulboka;CHA;23;1;1;0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;Brodric;Thomas;BOS;24;4;2;2;2.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3;0.0;0.3;0.0;0.5;0.0;0.0;0.0;-0.2;0;0
478;Daishen;Nix;HOU;19;1;1;0;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.5;0;0
478;David;Johnson;TOR;20;2;2;0;1.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;DeJon;Jarreau;IND;23;1;0;1;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;Didi;Louzada;NOP;22;2;0;2;3.5;0.0;0.0;1.5;0.0;0.0;1.5;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;2.0;0;0
478;Gary;Clark;NOP;27;1;1;0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;Isaiah;Livers;DET;23;1;0;1;4.7;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;5.0;0;0
478;JaQuori;McLaughlin;DAL;23;3;1;2;2.7;0.0;0.0;0.7;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;1.0;0;0
478;Jaden;Springer;PHI;19;1;1;0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
478;Jay;Huff;LAL;24;2;0;2;6.6;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.5;0.0;0.5;0.0;0.5;3.5;0;0
